t (s),V (mV)
0,17.6137
0.95,17.5727
1.903,17.539
2.85,17.502
3.845,17.4637
4.845,17.4266
5.844,17.3913
6.845,17.3523
7.844,17.3139
8.845,17.2756
9.844,17.2389
10.844,17.203
11.844,17.1667
12.845,17.1285
13.845,17.09
14.845,17.0555
15.845,17.0168
16.845,16.9821
17.845,16.9467
18.844,16.9108
19.845,16.8741
20.845,16.8378
21.844,16.8019
22.845,16.7665
23.845,16.7295
24.844,16.6933
25.845,16.6579
26.845,16.6224
27.844,16.5872
28.845,16.5504
29.845,16.5148
30.845,16.4785
31.845,16.4392
32.845,16.4063
33.845,16.3716
34.844,16.3359
35.845,16.3005
36.845,16.2648
37.845,16.2291
38.844,16.194
39.845,16.1599
40.845,16.1236
41.845,16.0887
42.844,16.0537
43.844,16.0182
44.845,15.9845
45.845,15.9482
46.844,15.9141
47.845,15.8794
48.844,15.8438
49.844,15.8087
50.845,15.7761
51.845,15.7401
52.845,15.7081
53.845,15.6737
54.845,15.6399
55.845,15.6072
56.845,15.573
57.844,15.541
58.844,15.5077
59.845,15.474
60.845,15.4412
61.845,15.4081
62.845,15.3777
63.845,15.3435
64.845,15.3116
65.845,15.2797
66.845,15.2474
67.845,15.2149
68.845,15.1844
69.845,15.1549
70.844,15.1228
71.844,15.0905
72.845,15.0596
73.845,15.029
74.845,14.9971
75.845,14.9647
76.845,14.934
77.845,14.901
78.845,14.8712
79.845,14.8391
80.845,14.8066
81.845,14.7757
82.844,14.7446
83.844,14.7126
84.845,14.6828
85.844,14.6506
86.845,14.6202
87.845,14.5883
88.845,14.5574
89.845,14.5277
90.845,14.4961
91.845,14.4644
92.845,14.4316
93.845,14.4016
94.845,14.3711
95.845,14.3407
96.845,14.3099
97.845,14.2788
98.845,14.2483
99.845,14.2199
100.845,14.1893
101.844,14.1607
102.845,14.131
103.845,14.1009
104.845,14.0696
105.845,14.0418
106.845,14.0111
107.845,13.9822
108.844,13.953
109.845,13.9225
110.845,13.8937
111.845,13.8662
112.845,13.8371
113.845,13.8082
114.845,13.7787
115.844,13.7503
116.845,13.7211
117.844,13.6932
118.845,13.6642
119.845,13.6365
120.845,13.6074
121.844,13.5794
122.845,13.5499
123.845,13.523
124.845,13.4938
125.844,13.4664
126.845,13.4379
127.845,13.4111
128.845,13.382
129.844,13.3551
130.845,13.3274
131.844,13.2986
132.845,13.2708
133.845,13.2431
134.845,13.2164
135.845,13.1883
136.845,13.1605
137.845,13.1334
138.845,13.1065
139.845,13.0787
140.845,13.051
141.845,13.0239
142.845,12.9969
143.844,12.9704
144.845,12.9431
145.845,12.9155
146.845,12.8893
147.845,12.8623
148.845,12.8361
149.845,12.8107
150.845,12.7824
151.844,12.7554
152.845,12.7294
153.844,12.7026
154.845,12.6769
155.845,12.6512
156.845,12.6229
157.844,12.5971
158.845,12.5719
159.845,12.5463
160.844,12.5207
161.845,12.4959
162.844,12.4693
163.845,12.4447
164.845,12.4214
165.845,12.3966
166.845,12.3706
167.845,12.3468
168.845,12.3234
169.845,12.2971
170.845,12.2722
171.845,12.2468
172.845,12.2226
173.845,12.1976
174.844,12.1728
175.845,12.1469
176.845,12.1218
177.845,12.0972
178.845,12.0711
179.845,12.0468
180.844,12.0213
181.844,11.9956
182.845,11.9679
183.845,11.9435
184.844,11.9175
185.845,11.8916
186.844,11.8657
187.845,11.8394
188.845,11.8147
189.845,11.7887
190.844,11.765
191.845,11.7408
192.845,11.7164
193.845,11.691
194.845,11.6681
195.845,11.6438
196.845,11.62
197.845,11.5957
198.845,11.5735
199.845,11.5508
200.845,11.5272
201.845,11.505
202.845,11.4822
203.845,11.4602
204.844,11.4364
205.845,11.4141
206.845,11.3905
207.845,11.3663
208.845,11.3433
209.845,11.3199
210.845,11.2974
211.845,11.2737
212.845,11.2508
213.845,11.2273
214.845,11.2049
215.845,11.1821
216.845,11.159
217.845,11.1359
218.845,11.1133
219.845,11.0906
220.845,11.0674
221.845,11.0448
222.845,11.0228
223.845,10.999
224.845,10.9763
225.845,10.9545
226.845,10.9312
227.845,10.909
228.844,10.8867
229.845,10.8636
230.845,10.8405
231.844,10.8184
232.845,10.7947
233.845,10.772
234.845,10.7504
235.844,10.7275
236.845,10.7043
237.845,10.6827
238.845,10.6591
239.845,10.6362
240.844,10.6144
241.844,10.591
242.844,10.5687
243.844,10.5483
244.844,10.5257
245.844,10.5032
246.843,10.4823
247.843,10.4602
248.844,10.4383
249.844,10.4176
250.844,10.3951
251.843,10.3741
252.844,10.3538
253.844,10.3331
254.844,10.3112
255.843,10.2904
256.843,10.2695
257.844,10.2482
258.844,10.2268
259.844,10.2064
260.844,10.1864
261.844,10.1647
262.844,10.145
263.843,10.1229
264.844,10.1029
265.844,10.0818
266.844,10.0617
267.844,10.0423
268.844,10.0202
269.844,10.0003
270.845,9.9798
271.845,9.9595
272.845,9.9389
273.844,9.9179
274.844,9.8983
275.844,9.8777
276.844,9.8592
277.844,9.8387
278.844,9.8173
279.845,9.7977
280.845,9.7785
281.845,9.7586
282.845,9.739
283.845,9.717
284.844,9.6985
285.845,9.6791
286.845,9.6597
