t (s),V (mV)
287.826,14.1908
288.826,14.1796
289.826,14.1696
290.827,14.1599
291.827,14.1497
292.827,14.1404
293.827,14.1294
294.826,14.1202
295.826,14.1099
296.827,14.0993
297.827,14.0887
298.827,14.0786
299.826,14.0702
300.827,14.0607
301.827,14.0517
302.828,14.0406
303.827,14.0325
304.826,14.0237
305.827,14.0133
306.827,14.0033
307.827,13.9942
308.827,13.9842
309.826,13.9754
310.826,13.9661
311.827,13.9564
312.826,13.9464
313.827,13.9348
314.827,13.9258
315.827,13.9158
316.826,13.9071
317.827,13.8969
318.827,13.8869
319.827,13.8758
320.827,13.867
321.826,13.8583
322.827,13.8459
323.827,13.8383
324.827,13.8305
325.827,13.8197
326.827,13.8113
327.827,13.8019
328.826,13.7915
329.827,13.7816
330.827,13.7718
331.827,13.7609
332.826,13.7512
333.827,13.7415
334.827,13.7319
335.826,13.7214
336.826,13.712
337.827,13.7014
338.826,13.691
339.826,13.6821
340.827,13.6711
341.827,13.6606
342.826,13.6512
343.827,13.6415
344.827,13.6316
345.826,13.6215
346.826,13.6112
347.827,13.6011
348.826,13.5909
349.827,13.5816
350.827,13.5701
351.827,13.5607
352.827,13.5493
353.827,13.5391
354.827,13.5292
355.827,13.5183
356.827,13.5082
357.827,13.4985
358.827,13.4885
359.827,13.4792
360.827,13.4699
361.827,13.4595
362.827,13.4494
363.827,13.4402
364.827,13.4309
365.826,13.4216
366.827,13.4118
367.826,13.4026
368.827,13.3927
369.827,13.3831
370.827,13.3736
371.826,13.3642
372.826,13.3546
373.827,13.3451
374.827,13.3367
375.827,13.3261
376.827,13.3167
