t (s),V (mV)
0,17.8279
0.956,17.8481
1.908,17.8374
2.86,17.8341
3.826,17.825
4.826,17.8144
5.827,17.8008
6.827,17.7855
7.827,17.7676
8.827,17.755
9.827,17.7432
10.827,17.7287
11.827,17.7145
12.827,17.6993
13.827,17.6837
14.827,17.6688
15.826,17.6523
16.827,17.6372
17.827,17.6193
18.827,17.5936
19.827,17.5833
20.827,17.5712
21.826,17.5559
22.827,17.5401
23.827,17.524
24.827,17.5083
25.826,17.4912
26.827,17.4738
27.827,17.4578
28.827,17.4421
29.826,17.4274
30.826,17.411
31.826,17.3941
32.827,17.3786
33.827,17.3622
34.827,17.3443
35.827,17.328
36.827,17.3105
37.826,17.2955
38.826,17.2784
39.827,17.2614
40.826,17.2457
41.827,17.2282
42.827,17.2121
43.827,17.1966
44.827,17.181
45.827,17.1659
46.827,17.1496
47.827,17.1347
48.827,17.1203
49.827,17.1042
50.827,17.0891
51.827,17.0739
52.827,17.0582
53.827,17.0423
54.827,17.0285
55.826,17.0136
56.826,16.9996
57.826,16.9845
58.826,16.9707
59.826,16.9554
60.827,16.9435
61.827,16.9295
62.826,16.9137
63.826,16.9011
64.827,16.8887
65.827,16.8756
66.826,16.8608
67.827,16.8476
68.826,16.8329
69.827,16.8187
70.827,16.805
71.827,16.7913
72.827,16.7769
73.826,16.7634
74.827,16.7504
75.826,16.7354
76.827,16.7213
77.827,16.7078
78.826,16.6952
79.827,16.6776
80.826,16.6648
81.826,16.6508
82.826,16.6358
83.826,16.6218
84.827,16.6065
85.827,16.591
86.826,16.578
87.827,16.5633
88.827,16.5476
89.827,16.5348
90.827,16.5206
91.826,16.5074
92.826,16.4932
93.827,16.4788
94.827,16.4654
95.827,16.4525
96.826,16.4386
97.827,16.4245
98.826,16.4102
99.827,16.3952
100.827,16.3821
101.827,16.3696
102.827,16.3555
103.827,16.3412
104.827,16.3279
105.826,16.3138
106.827,16.3002
107.827,16.2882
108.827,16.2745
109.827,16.2608
110.827,16.2498
111.827,16.2369
112.826,16.2243
113.827,16.211
114.827,16.1916
115.827,16.1814
116.827,16.1702
117.826,16.1582
118.826,16.1459
119.827,16.1334
120.827,16.1214
121.827,16.1069
122.827,16.0948
123.826,16.0822
124.826,16.0684
125.826,16.0551
126.826,16.0423
127.827,16.0291
128.826,16.0153
129.827,16.0026
130.827,15.9904
131.827,15.9776
132.827,15.9652
133.827,15.9521
134.826,15.9406
135.826,15.9276
136.827,15.9158
137.826,15.9031
138.826,15.8911
139.826,15.878
140.827,15.8653
141.827,15.8531
142.827,15.8394
143.826,15.8276
144.827,15.815
145.827,15.8028
146.826,15.7904
147.827,15.7787
148.827,15.7661
149.827,15.753
150.827,15.7407
151.827,15.7302
152.827,15.7186
153.826,15.7054
154.827,15.6944
155.827,15.6832
156.826,15.6714
157.827,15.6619
158.826,15.648
159.826,15.6366
160.827,15.6265
161.826,15.6138
162.827,15.6029
163.827,15.5909
164.827,15.5798
165.826,15.5676
166.826,15.5562
167.827,15.5449
168.827,15.5329
169.827,15.521
170.827,15.5095
171.826,15.4965
172.827,15.4841
173.827,15.4715
174.826,15.4583
175.827,15.4467
176.827,15.4344
177.827,15.4236
178.827,15.4112
179.827,15.3995
180.826,15.388
181.827,15.3751
182.827,15.3637
183.827,15.3506
184.826,15.3379
185.827,15.3258
186.827,15.3131
187.827,15.3007
188.827,15.2884
189.826,15.2771
190.827,15.2643
191.827,15.2535
192.827,15.24
193.827,15.2268
194.827,15.2145
195.826,15.205
196.827,15.1897
197.826,15.1794
198.827,15.1659
199.827,15.1532
200.827,15.1408
201.827,15.1295
202.827,15.1172
203.827,15.1062
204.826,15.093
205.827,15.079
206.827,15.0674
207.826,15.0563
208.826,15.0447
209.826,15.0338
210.827,15.0219
211.827,15.0107
212.827,14.9983
213.827,14.9879
214.827,14.9759
215.826,14.9643
216.827,14.9527
217.827,14.9418
218.826,14.9315
219.827,14.9203
220.827,14.9083
221.827,14.8975
222.827,14.8866
223.826,14.8747
224.827,14.8619
225.827,14.8525
226.827,14.8423
227.827,14.8311
228.826,14.8211
229.827,14.8077
230.827,14.7982
231.827,14.7876
232.827,14.7766
233.827,14.7653
234.826,14.7562
235.826,14.7462
236.827,14.7351
237.826,14.725
238.826,14.7139
239.827,14.7027
240.826,14.6928
241.826,14.6834
242.827,14.6724
243.827,14.6609
244.826,14.65
245.827,14.6394
246.827,14.6273
247.827,14.6173
248.827,14.6065
249.827,14.5957
250.826,14.5852
251.827,14.574
252.826,14.5638
253.827,14.5502
254.827,14.5397
255.826,14.5282
256.827,14.5172
257.827,14.5062
258.826,14.4953
259.827,14.4856
260.827,14.4757
261.826,14.463
262.827,14.4521
263.827,14.4413
264.826,14.429
265.827,14.4176
266.826,14.4065
267.827,14.3961
268.827,14.3862
269.827,14.3738
270.826,14.3648
271.826,14.3498
272.827,14.3403
273.826,14.3303
274.826,14.3183
275.826,14.309
276.826,14.2984
277.827,14.2875
278.827,14.2789
279.826,14.2703
280.827,14.2591
281.827,14.249
282.827,14.2384
283.826,14.2294
284.826,14.2194
285.827,14.2107
286.827,14.2
