t (s),V (mV)
0,13.6544
0.952,13.6331
1.9,13.6127
2.865,13.5982
3.864,13.5747
4.865,13.5526
5.864,13.5302
6.865,13.5071
7.865,13.4852
8.864,13.4633
9.864,13.4406
10.865,13.4185
11.865,13.3958
12.865,13.3724
13.865,13.3497
14.864,13.3274
15.865,13.3063
16.865,13.2845
17.865,13.2615
18.865,13.2398
19.865,13.2166
20.864,13.1953
21.865,13.1731
22.865,13.1532
23.865,13.1315
24.864,13.1101
25.864,13.0877
26.865,13.0655
27.865,13.0449
28.865,13.0227
29.865,13.0023
30.865,12.9797
31.865,12.9594
32.865,12.9372
33.864,12.9159
34.865,12.8965
35.864,12.8741
36.865,12.8534
37.864,12.833
38.865,12.8118
39.865,12.7923
40.864,12.7703
41.865,12.7503
42.865,12.7294
43.865,12.7092
44.864,12.6896
45.864,12.6687
46.864,12.6478
47.864,12.629
48.865,12.6097
49.865,12.5879
50.865,12.5689
51.865,12.5487
52.864,12.5273
53.864,12.5081
54.864,12.4883
55.865,12.4677
56.865,12.4467
57.865,12.4269
58.864,12.4093
59.865,12.3897
60.865,12.3703
61.865,12.3514
62.864,12.331
63.865,12.3111
64.865,12.2907
65.865,12.2747
66.865,12.2516
67.865,12.234
68.865,12.215
69.865,12.1953
70.864,12.1764
71.865,12.1571
72.865,12.1373
73.865,12.1185
74.865,12.1011
75.865,12.0811
76.865,12.0616
77.865,12.043
78.865,12.0237
79.865,12.0051
80.865,11.9861
81.865,11.9678
82.865,11.9499
83.865,11.9316
84.865,11.9131
85.864,11.8937
86.865,11.8766
87.864,11.8584
88.864,11.8401
89.865,11.8251
90.865,11.8068
91.865,11.7902
92.864,11.771
93.864,11.7539
94.865,11.7368
95.865,11.72
96.865,11.7002
97.865,11.6836
98.865,11.6655
99.865,11.6481
100.865,11.6285
101.865,11.6117
102.864,11.5944
103.865,11.5766
104.865,11.5589
105.865,11.5395
106.865,11.5217
107.865,11.5033
108.865,11.485
109.865,11.4669
110.864,11.4502
111.865,11.4314
112.865,11.4128
113.865,11.3951
114.865,11.3772
115.865,11.3571
116.865,11.3391
117.865,11.3205
118.864,11.3034
119.865,11.2843
120.865,11.2671
121.865,11.2492
122.864,11.2332
123.865,11.2138
124.865,11.1963
125.864,11.1797
126.865,11.1626
127.865,11.1456
128.865,11.1282
129.865,11.1114
130.865,11.0948
131.864,11.0784
132.865,11.0605
133.865,11.0439
134.865,11.0262
135.865,11.0091
136.865,10.9923
137.865,10.9754
138.865,10.9588
139.865,10.9417
140.865,10.9252
141.865,10.9084
142.864,10.8919
143.865,10.8753
144.865,10.8594
145.865,10.8428
146.865,10.8274
147.865,10.8116
148.865,10.7962
149.865,10.7813
150.865,10.7659
151.865,10.75
152.865,10.7329
153.865,10.7177
154.865,10.7022
155.865,10.686
156.864,10.6703
157.865,10.6548
158.864,10.638
159.865,10.6213
160.865,10.6058
161.864,10.5897
162.864,10.5745
163.864,10.5588
164.864,10.5431
165.864,10.5266
166.864,10.4957
167.864,10.468
168.863,10.4665
169.864,10.4609
170.864,10.4486
171.863,10.4355
172.864,10.4205
173.864,10.4047
174.864,10.3896
175.864,10.3739
176.864,10.3582
177.864,10.3419
178.864,10.3266
179.864,10.3117
180.863,10.2957
181.863,10.2818
182.864,10.2658
183.864,10.2509
184.864,10.2361
185.863,10.2202
186.864,10.2055
187.863,10.1906
188.864,10.174
189.864,10.1595
190.864,10.1441
191.864,10.13
192.864,10.1152
193.864,10.0977
194.864,10.0825
195.863,10.0693
196.864,10.0524
197.864,10.0372
198.864,10.0226
199.864,10.0076
200.865,9.9919
201.865,9.9788
202.865,9.963
203.865,9.9488
204.865,9.9332
205.865,9.9176
206.865,9.9039
207.865,9.8882
208.865,9.8742
209.865,9.8596
210.865,9.8451
211.865,9.8303
212.865,9.8161
213.865,9.8014
214.865,9.7862
215.865,9.7706
216.865,9.7559
217.864,9.7445
218.865,9.728
219.865,9.7136
220.865,9.6994
221.865,9.684
222.865,9.6692
223.864,9.6566
224.865,9.6426
225.865,9.628
226.865,9.6138
227.864,9.6007
228.865,9.5856
229.865,9.57
230.865,9.5552
